=Below Budget,=Above Budget,Address Number,Amount for P&L (% of Gross Sales),Amount for P&L (Margins),Amount for P&L,Amount2,Amount,Amount_%,Amount_Size,Amount_label,Amount in 000s,Selected Category,Calculation2,Gross Margin M,Inventory Turns,Inventory Units,Profit Margin,Selected Year (start),Sales Quantity,Distinct Orders,Inventory Value in 1000,New YYYYMM,Selected Metric Biz Mix,Net Margin Calc Field,=Space,Performance Eval Legend,Inventory Value,Selected Metric (sort),Amount Minus,Category (Margins),Category (group) 1,Category (group),Category Color,Category,Channel,Channel_Filter,CostPrice*StockOH,CostPrice,Customer - Product Desc,Customer - Product Segmentation,Customer Segment (group),Customer,Distribution Channel Mgr,Gross Profit M,SG&A,Indirect Expenses,"Taxes, Interest",COGS,Gross Sales and Profit Amount,Gross Sales Amount,Inventory Value (copy 2),Inventory Value (step1),Customer Location,Operating Income M,Profit M,Net Sales,Operating Margin M,OrderID,Product Category (group),Product Category,Product,Product Type Desc,Region,Region_Filter,Sales Price (weighted avg),SegmentDesc+Region,Customer Segment,Selected Metric Value,Selected Metric Unit,Selected Year (end),StockOH,ThroughputQty,YYYYMM,Year Filter,Year To Date Filter,title_Target,title_COGS,title_Indirect_Expenses,title_Portfolio_Average,title_Margin,title_from_Gross_Sales,title_Selected_Metric
Below Budget,Above Budget,10010970,$81,$81,$81,,$81,,,,0.08051,Baked Goods,1,,24.555555556,9,,1/1/2012,,1,0.24246,7/1/2013 12:00:00 AM,0.08051,, ,Above Budget,$242,,-0.08051,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,242.46,$27,Sliced Bread,Baked Goods,S Markets,EDP,JL,,,,,,,,$242,$242,Irving,,,0.08051,,13069,Baking,Baked Goods,Sliced Bread,Bread,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,9,221,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10025061,$0,$0,$0,,$0,,,,0,Beverages,1,,29.794117647,34,,1/1/2012,,1,0.15266,7/1/2013 12:00:00 AM,0,, ,Above Budget,$153,,0,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,152.66,$4,Coffee,Beverages,S Markets,Target Marketing,JL,,,,,,,,$153,$153,Canton,,,0,,12667,Beverages,Beverages,Coffee,Hot Beverages,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,34,1013,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10024541,$289,$289,$289,,$289,,,,0.2894,Beverages,1,,2,83,,1/1/2012,,1,8.37055,7/1/2013 12:00:00 AM,0.2894,, ,Above Budget,"$8,371",,-0.2894,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,8370.55,$101,Juice,Beverages,S Markets,Southern Company,JL,,,,,,,,"$8,371","$8,371",Bedford,,,0.2894,,12867,Beverages,Beverages,Juice,Pure Juice Beverages,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,83,166,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10024541,$110,$110,$110,,$110,,,,0.10982,Breakfast Foods,1,,9.636363636,5.5,,1/1/2012,,1,0.096085,7/1/2013 12:00:00 AM,0.10982,, ,Above Budget,$96,,-0.10982,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,96.085,$17,Cereal,Breakfast Foods,S Markets,Southern Company,JL,,,,,,,,$96,$96,Bedford,,,0.10982,,13264,Other,Breakfast Foods,Cereal,Breakfast Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,5.5,53,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10024541,$752,$752,$752,,$752,,,,0.75184,Canned Foods,1,,22,329,,1/1/2012,,1,26.91878,7/1/2013 12:00:00 AM,0.75184,, ,Above Budget,"$26,919",,-0.75184,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,26918.78,$82,Sardines,Canned Foods,S Markets,Southern Company,JL,,,,,,,,"$26,919","$26,919",Bedford,,,0.75184,,12866,Other,Canned Foods,Sardines,Canned Sardines,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,329,7238,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20021940,$26,$26,$26,,$26,,,,0.02574,Canned Foods,1,,0.824519231,25376,,1/1/2012,,1,3.83141,7/1/2013 12:00:00 AM,0.02574,, ,Above Budget,"$3,831",,-0.02574,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,3831.41,$7,Soup,Canned Foods,S Markets,EDP,JL,,,,,,,,"$175,602","$175,602",Irving,,,0.02574,,26071,Other,Canned Foods,Soup,Canned Soup,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,25376,20923,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10025061,$626,$626,$626,,$626,,,,0.62617,Dairy,1,,18.038095238,52.5,,1/1/2012,,1,1.7745,7/1/2013 12:00:00 AM,0.62617,, ,Above Budget,"$1,775",,-0.62617,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1774.5,$34,Cheese,Dairy,S Markets,Target Marketing,JL,,,,,,,,"$1,775","$1,775",Canton,,,0.62617,,13806,Other,Dairy,Cheese,Dairy,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,52.5,947,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10010970,"$1,017","$1,017","$1,017",,"$1,017",,,,1.01675,Dairy,1,,17.818181818,5.5,,1/1/2012,,1,2.07922,7/1/2013 12:00:00 AM,1.01675,, ,Above Budget,"$2,079",,-1.01675,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2079.22,$378,Cheese,Dairy,S Markets,EDP,JL,,,,,,,,"$2,079","$2,079",Irving,,,1.01675,,12824,Other,Dairy,Cheese,Dairy,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,5.5,98,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20021940,$366,$366,$366,,$366,,,,0.3662,Dairy,1,,5.834645669,127,,1/1/2012,,1,4.12916,7/1/2013 12:00:00 AM,0.3662,, ,Above Budget,"$4,129",,-0.3662,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,4129.16,$66,Milk,Dairy,S Markets,EDP,JL,,,,,,,,"$8,428","$8,428",Irving,,,0.3662,,26308,Other,Dairy,Milk,Dairy,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,127,741,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10025061,$199,$199,$199,,$199,,,,0.19872,Dairy,1,,2,76,,1/1/2012,,1,7.4442,7/1/2013 12:00:00 AM,0.19872,, ,Above Budget,"$7,444",,-0.19872,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,7444.2,$98,Yogurt,Dairy,S Markets,Target Marketing,JL,,,,,,,,"$7,444","$7,444",Canton,,,0.19872,,12668,Other,Dairy,Yogurt,Dairy,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,76,152,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
